priorita,componente,servizi_coinvolti,riproducibile,commenti_iniziali,esperienza_assegnatario,ore_risoluzione
3,backend,2,1,1,4.2,4.1
3,database,2,1,2,9.9,6.4
2,frontend,2,1,2,6.3,1.4
3,infrastruttura,2,1,2,2.4,11.2
4,backend,2,0,5,1.6,19.7
3,infrastruttura,1,0,3,6.8,15.2
4,infrastruttura,1,0,5,12.8,11.1
3,frontend,4,0,4,4.3,24.4
3,backend,2,1,3,9.6,6.3
3,backend,3,1,0,6.3,5.8
4,backend,1,1,1,6.8,2.7
3,database,2,1,1,1.8,5.8
3,frontend,1,0,1,4.1,4.0
4,backend,2,1,3,4.4,4.2
4,infrastruttura,3,1,1,0.7,26.4
3,infrastruttura,2,1,2,2.9,13.0
2,frontend,3,0,2,3.2,10.0
3,infrastruttura,4,1,2,2.3,18.2
3,frontend,1,1,1,4.0,2.7
2,backend,4,1,5,7.7,12.4
3,frontend,1,0,6,7.9,4.1
3,backend,5,0,3,10.7,19.0
2,frontend,3,1,1,8.6,4.1
3,frontend,2,0,2,5.7,5.3
2,frontend,1,1,1,10.9,1.1
3,infrastruttura,2,1,2,3.4,13.4
1,backend,3,1,1,4.7,9.7
4,database,3,1,2,13.4,11.3
2,backend,4,1,2,3.3,16.4
4,backend,1,1,1,0.5,9.6
3,frontend,2,0,3,1.6,6.7
2,frontend,1,1,2,4.3,1.6
4,backend,2,1,3,2.3,6.5
3,infrastruttura,3,1,0,1.5,17.8
3,frontend,4,0,5,8.0,12.3
4,backend,1,1,0,6.4,2.1
4,database,1,1,2,0.7,8.5
3,infrastruttura,4,1,1,9.0,14.3
4,frontend,3,1,1,15.6,4.2
2,infrastruttura,1,1,4,2.9,7.2
2,backend,3,0,9,6.4,12.7
1,backend,3,1,3,2.1,10.2
2,database,1,1,4,5.2,7.8
3,frontend,2,0,3,6.6,5.7
2,database,1,0,11,4.3,30.3
3,backend,4,1,1,2.6,11.7
1,database,3,1,4,3.3,13.7
2,infrastruttura,2,0,2,0.9,36.0
3,backend,4,1,6,4.8,14.1
2,frontend,2,1,2,12.2,2.3
3,frontend,1,1,3,1.6,3.4
3,infrastruttura,2,1,4,10.6,6.4
3,backend,2,1,4,3.8,4.6
4,infrastruttura,3,0,5,0.9,91.2
4,backend,2,1,0,8.1,4.4
1,backend,2,1,2,4.9,4.4
3,infrastruttura,2,1,4,2.0,16.3
2,database,2,1,0,2.7,7.4
3,backend,2,0,4,3.1,13.5
3,frontend,4,0,1,4.2,11.3
3,infrastruttura,3,0,4,5.2,41.7
4,database,2,0,4,5.3,27.2
3,backend,1,1,1,7.6,4.8
3,backend,2,1,3,4.7,7.0
3,frontend,2,1,1,5.8,3.3
2,backend,1,0,5,4.9,8.8
1,frontend,1,1,3,19.4,0.7
3,frontend,4,1,2,0.5,15.0
3,database,2,1,2,1.7,13.1
2,backend,2,1,1,2.1,6.6
3,database,2,1,2,4.6,7.6
2,backend,3,0,4,4.9,13.4
3,frontend,2,1,2,3.9,3.1
2,backend,3,1,3,6.5,6.6
2,frontend,3,1,1,7.1,5.3
1,backend,1,1,0,4.1,3.5
2,infrastruttura,3,1,3,7.6,20.2
3,database,1,1,0,3.7,3.6
4,database,1,1,2,5.6,3.8
2,infrastruttura,1,1,0,0.5,7.6
3,database,1,0,4,4.2,13.0
3,backend,2,1,1,7.8,3.4
3,database,2,0,3,0.5,41.7
2,backend,3,0,3,4.6,20.2
1,frontend,2,1,1,2.0,2.6
4,database,1,1,3,5.4,6.3
4,database,2,1,2,3.8,11.4
3,frontend,3,1,2,5.8,5.1
3,infrastruttura,2,1,2,2.6,14.2
1,frontend,5,1,5,4.0,6.8
1,database,1,0,5,1.9,15.9
1,infrastruttura,1,0,2,3.1,15.5
3,frontend,2,1,4,5.1,3.8
2,infrastruttura,4,0,1,1.0,122.6
2,database,1,0,4,4.2,13.0
1,database,2,1,2,1.6,7.4
1,infrastruttura,4,1,1,3.7,14.9
3,backend,2,0,3,1.4,13.4
3,backend,4,0,1,14.4,11.2
3,backend,2,0,4,7.8,8.5
3,backend,2,1,2,3.8,5.4
3,frontend,2,0,2,10.6,6.7
3,frontend,2,1,2,2.6,3.0
2,backend,2,1,1,9.2,5.1
2,database,3,1,1,5.8,14.1
4,infrastruttura,2,0,3,2.7,29.0
3,infrastruttura,3,1,3,6.6,13.9
3,frontend,2,1,1,8.0,3.0
2,backend,4,0,3,4.3,26.0
2,backend,1,1,2,7.4,3.0
1,frontend,3,0,6,7.0,6.9
4,backend,1,1,1,5.4,3.6
3,backend,1,1,2,1.4,4.5
1,infrastruttura,2,1,2,5.3,6.7
2,frontend,2,0,5,0.5,14.4
2,database,4,0,5,4.2,77.1
2,infrastruttura,1,1,3,6.3,8.6
3,database,1,0,2,2.1,15.2
2,frontend,1,0,1,7.6,3.0
4,frontend,3,1,1,3.0,3.7
3,infrastruttura,2,1,1,2.1,15.0
4,frontend,3,0,2,6.9,8.2
4,frontend,1,1,0,10.8,1.3
4,infrastruttura,2,0,4,4.9,29.6
4,database,2,1,2,10.3,6.2
2,database,3,0,4,2.7,39.6
2,frontend,1,0,5,2.3,7.4
2,backend,2,1,4,8.8,6.0
3,database,2,1,6,6.3,10.8
3,frontend,2,1,3,1.6,4.1
1,frontend,3,0,3,11.4,5.0
4,frontend,1,1,5,4.2,2.5
3,backend,1,1,4,4.5,4.8
3,frontend,1,0,4,12.4,3.6
3,infrastruttura,1,1,1,10.5,3.3
2,frontend,2,1,3,10.0,3.3
3,frontend,5,1,0,2.7,7.6
2,infrastruttura,2,0,3,5.4,22.6
3,infrastruttura,1,1,4,6.1,5.9
2,backend,3,0,4,2.2,16.2
2,infrastruttura,2,1,2,1.6,9.5
3,frontend,2,0,6,4.0,11.6
3,backend,3,1,3,7.5,11.0
2,frontend,4,1,5,0.5,29.7
4,backend,2,0,3,4.7,11.7
1,database,4,0,3,1.8,67.6
4,database,1,1,0,8.0,3.4
1,frontend,1,1,4,5.6,1.6
2,backend,1,1,0,1.8,4.9
4,infrastruttura,1,1,3,8.1,7.0
3,backend,2,0,7,5.5,15.2
3,frontend,3,0,3,3.8,8.4
3,backend,2,1,1,14.5,4.1
3,frontend,1,1,2,4.1,1.7
3,backend,2,1,1,3.0,5.3
2,backend,2,1,1,6.6,6.9
3,backend,2,1,1,11.8,2.9
4,backend,3,0,4,0.5,57.6
4,backend,2,1,4,9.1,5.9
3,frontend,2,1,1,6.8,2.4
3,frontend,1,0,2,10.6,3.0
3,backend,3,1,1,9.5,5.4
2,infrastruttura,2,1,3,6.0,7.5
4,database,2,1,2,6.7,7.0
3,frontend,2,1,1,4.9,2.8
3,backend,3,1,2,10.9,5.2
3,backend,1,1,1,2.7,3.5
1,backend,3,0,4,4.8,9.8
4,backend,4,1,1,7.5,7.0
4,infrastruttura,1,1,2,8.1,3.4
2,frontend,3,0,4,8.1,13.4
1,backend,2,1,3,6.3,4.7
3,backend,3,1,3,8.2,8.9
2,backend,3,1,2,6.7,7.6
4,frontend,2,1,1,12.4,2.6
1,backend,3,1,1,2.6,10.1
2,frontend,3,0,7,8.1,11.5
1,database,2,1,1,4.4,8.7
3,backend,1,1,0,5.1,2.8
3,frontend,2,1,5,13.0,3.4
4,infrastruttura,4,1,2,12.9,17.1
4,database,4,0,3,10.9,33.3
3,backend,2,0,8,3.3,15.5
2,infrastruttura,2,0,2,3.1,18.7
1,database,2,1,3,1.7,8.6
4,frontend,2,1,0,11.5,2.0
2,backend,3,0,3,2.2,18.8
4,backend,4,1,1,3.9,10.6
4,backend,2,1,1,3.4,6.3
3,infrastruttura,4,1,3,3.1,18.5
3,backend,5,1,2,1.0,40.5
4,frontend,2,0,5,3.6,8.8
3,backend,1,0,2,5.4,4.8
3,database,3,1,1,2.0,16.8
3,backend,3,1,2,2.8,12.6
3,frontend,1,0,2,10.5,3.2
2,frontend,2,1,3,2.4,3.3
4,backend,1,0,4,4.5,12.3
3,frontend,2,1,4,4.7,4.3
3,backend,2,0,3,2.8,9.0
1,frontend,3,1,1,8.7,3.3
4,backend,2,1,4,10.2,4.7
3,frontend,1,0,2,1.6,5.1
3,frontend,1,0,1,3.3,2.8
1,backend,2,0,4,2.6,10.8
4,frontend,1,1,0,3.9,1.5
3,frontend,1,0,4,4.7,3.8
3,backend,3,1,1,1.1,13.5
2,frontend,2,1,2,4.7,2.9
2,frontend,1,1,1,0.8,3.0
2,backend,2,1,2,12.9,5.0
2,backend,2,0,2,9.6,6.4
3,backend,3,0,5,0.7,27.7
3,infrastruttura,2,1,3,5.4,6.5
3,backend,1,1,1,1.3,3.8
3,backend,1,1,1,8.0,2.8
3,infrastruttura,2,1,1,3.6,10.3
1,backend,3,1,2,9.2,4.5
4,database,2,0,1,8.3,20.9
3,backend,2,1,1,3.8,5.5
3,backend,2,1,1,4.5,3.6
4,infrastruttura,3,0,3,2.7,53.4
3,frontend,2,1,4,1.3,7.5
3,infrastruttura,2,1,2,4.7,5.4
3,backend,2,1,5,7.2,9.5
4,backend,1,1,4,5.0,3.2
4,backend,1,1,3,4.3,2.5
2,frontend,1,0,2,6.7,3.4
3,frontend,3,1,5,4.2,7.7
4,infrastruttura,2,0,4,5.4,26.5
4,backend,5,0,6,3.7,41.9
2,infrastruttura,3,0,0,4.6,59.4
3,frontend,2,0,3,1.9,8.7
3,frontend,3,0,2,2.9,22.2
2,frontend,1,0,2,12.7,3.8
3,frontend,2,1,2,1.7,4.5
3,backend,2,1,2,13.2,4.4
2,infrastruttura,2,0,2,5.2,23.3
2,infrastruttura,1,0,5,1.3,31.2
4,backend,2,0,3,8.1,10.2
4,frontend,2,1,2,1.6,4.1
4,backend,1,0,1,7.6,3.5
4,backend,3,0,3,6.2,20.7
4,backend,2,0,3,5.0,13.1
3,backend,1,1,1,5.7,2.1
1,frontend,4,1,3,5.9,5.9
4,frontend,3,1,6,4.1,8.7
3,infrastruttura,1,1,3,13.8,5.4
2,database,2,1,3,10.7,5.4
4,infrastruttura,2,1,4,7.9,10.8
2,frontend,2,0,4,3.8,7.1
4,backend,3,1,2,3.5,10.1
3,frontend,3,0,6,5.9,8.6
1,infrastruttura,2,1,2,3.5,2.6
4,frontend,1,0,2,4.1,3.1
3,backend,1,1,2,8.0,3.3
3,frontend,1,1,1,11.0,1.4
3,frontend,3,1,2,6.0,5.5
2,frontend,3,1,0,5.5,5.5
2,backend,1,1,2,1.3,4.7
1,database,3,0,4,7.8,24.9
2,infrastruttura,2,0,5,8.3,15.4
2,backend,3,1,1,9.5,4.3
3,backend,3,0,4,19.2,8.4
2,database,2,1,2,3.4,9.6
3,frontend,1,1,2,11.9,1.4
2,database,1,1,0,11.2,2.8
2,database,3,1,3,5.5,10.2
4,backend,3,1,2,1.6,9.7
4,frontend,1,0,2,10.4,3.7
4,frontend,2,1,3,12.1,2.7
1,backend,3,0,1,2.1,18.5
3,infrastruttura,2,1,4,7.3,5.0
2,backend,2,1,2,5.3,6.0
3,backend,4,1,0,5.1,8.8
4,backend,3,1,2,1.3,11.7
2,database,3,1,1,10.2,12.3
4,frontend,3,0,0,3.8,7.6
3,frontend,2,0,5,15.0,5.8
2,backend,1,1,2,4.3,2.7
1,frontend,3,1,1,3.4,4.2
4,frontend,3,1,2,3.7,3.6
3,backend,3,1,3,4.5,9.0
1,frontend,1,0,5,4.4,4.0
2,infrastruttura,4,1,1,10.2,18.7
4,database,2,0,1,4.4,17.6
2,infrastruttura,5,0,6,11.3,65.8
4,infrastruttura,2,1,0,10.1,5.1
3,frontend,2,0,4,9.2,5.2
2,backend,1,0,4,8.2,4.6
2,backend,3,1,2,2.3,6.1
3,frontend,2,0,4,8.6,4.3
3,infrastruttura,2,1,3,10.1,7.4
1,frontend,1,0,6,11.7,2.8
2,backend,2,0,2,1.4,16.4
4,backend,3,0,5,9.8,18.2
3,infrastruttura,2,0,3,1.4,36.3
3,backend,1,0,5,7.6,4.3
2,backend,4,1,2,6.8,11.8
3,frontend,2,0,2,2.7,6.9
3,backend,1,0,1,5.5,5.1
1,database,1,0,4,4.8,17.5
4,backend,1,0,8,7.0,8.6
4,database,2,1,1,5.3,7.0
2,frontend,2,1,1,6.4,2.9
4,frontend,1,0,4,4.2,5.3
3,infrastruttura,3,0,0,18.1,20.3
3,frontend,2,0,4,6.6,4.8
2,backend,3,1,4,3.7,9.7
4,backend,3,1,1,3.6,6.3
3,infrastruttura,2,1,4,8.3,8.3
4,frontend,1,1,3,23.6,1.5
2,frontend,1,0,4,10.8,3.2
2,infrastruttura,4,1,1,5.1,15.8
4,backend,2,1,2,1.2,12.6
3,backend,2,1,2,2.8,8.0
1,backend,1,0,5,3.4,6.3
4,backend,1,1,4,1.2,6.0
2,infrastruttura,3,1,1,4.6,17.7
4,backend,3,1,3,7.7,6.7
4,infrastruttura,2,1,1,4.0,6.7
1,infrastruttura,2,1,1,8.9,5.7
3,backend,1,0,3,3.5,7.9
4,backend,4,1,3,1.8,19.3
4,backend,2,1,1,3.1,7.1
3,database,2,1,0,2.9,6.3
3,backend,1,1,3,1.4,3.7
3,frontend,1,1,1,2.4,2.0
2,infrastruttura,2,0,6,1.0,62.1
3,backend,2,1,3,0.9,7.7
2,infrastruttura,1,1,2,3.9,3.5
2,backend,2,0,6,3.3,14.4
3,backend,1,0,2,15.8,3.8
4,backend,2,1,1,2.5,4.0
2,database,3,1,3,3.7,13.8
2,frontend,3,0,5,5.8,9.3
1,backend,3,1,3,9.3,9.0
2,database,2,0,8,11.4,25.6
4,infrastruttura,2,0,2,5.8,28.3
3,frontend,2,1,1,4.6,3.0
2,frontend,1,1,3,3.0,2.1
4,backend,4,0,3,5.3,19.5
1,frontend,2,1,3,10.9,2.9
3,frontend,2,1,1,5.2,3.5
4,backend,1,1,2,6.7,2.1
3,backend,2,1,2,8.6,3.3
2,backend,2,0,6,6.3,8.5
3,backend,3,0,1,7.1,16.2
3,infrastruttura,3,1,2,6.2,8.0
3,backend,5,1,1,2.3,22.2
2,database,3,0,2,5.4,37.3
4,frontend,3,1,2,5.8,4.9
3,database,3,0,3,13.5,25.0
3,database,1,1,0,3.0,6.3
4,frontend,2,1,2,5.6,3.2
4,backend,2,0,3,3.9,7.7
3,backend,1,1,3,12.8,2.0
2,backend,1,1,3,10.0,1.9
1,database,1,1,4,5.6,5.5
3,frontend,2,1,1,0.5,8.4
1,backend,1,1,1,10.2,2.7
3,infrastruttura,3,1,4,1.5,21.1
3,frontend,2,0,2,1.0,6.6
3,frontend,6,1,3,8.9,8.1
2,frontend,3,1,1,6.8,3.3
4,infrastruttura,4,0,3,6.4,54.9
3,frontend,2,0,4,3.1,10.7
3,frontend,2,1,1,1.3,6.4
3,backend,2,0,7,0.5,22.6
1,database,2,1,2,6.4,3.2
3,backend,3,1,1,1.8,7.9
1,infrastruttura,3,1,1,7.2,11.9
3,frontend,2,1,2,2.0,4.5
2,backend,1,1,3,5.7,3.1
2,backend,2,1,2,2.2,6.2
2,frontend,3,1,2,8.4,3.5
1,infrastruttura,4,0,1,6.2,28.9
4,backend,1,0,8,5.3,14.0
4,frontend,4,0,3,2.5,25.6
1,frontend,2,0,6,1.5,7.0
1,frontend,3,0,2,6.4,4.3
3,infrastruttura,1,1,3,3.2,6.8
1,frontend,1,1,2,5.1,1.5
3,infrastruttura,1,1,2,4.9,6.3
2,frontend,1,1,3,4.7,2.7
3,infrastruttura,1,1,3,10.0,3.5
4,database,2,1,3,4.7,11.2
2,frontend,2,1,2,2.3,3.7
4,frontend,1,1,4,7.5,2.3
4,database,2,0,4,7.3,21.3
4,frontend,1,1,0,2.9,2.6
3,frontend,3,1,2,2.5,3.4
4,database,2,1,2,6.2,8.4
3,infrastruttura,1,1,3,1.9,6.2
4,database,1,0,5,6.3,16.0
2,infrastruttura,3,1,0,11.8,12.2
3,backend,3,1,3,7.4,6.4
3,database,2,0,1,12.2,12.8
1,frontend,3,1,1,5.1,3.3
2,database,2,1,2,5.1,6.6
2,backend,1,1,1,5.5,2.3
3,backend,2,1,2,6.7,5.0
2,infrastruttura,1,1,4,6.4,5.9
2,backend,1,1,0,2.6,3.9
2,backend,2,1,1,4.8,4.1
3,backend,3,1,2,9.8,5.4
2,frontend,1,1,2,2.2,2.5
2,frontend,2,1,1,5.5,2.7
2,infrastruttura,4,1,2,6.6,16.2
3,backend,2,1,0,6.6,3.5
1,backend,1,1,1,1.4,4.0
4,backend,4,1,6,2.2,15.1
2,infrastruttura,3,1,1,9.6,9.9
2,database,2,0,4,9.5,19.6
3,frontend,2,0,2,5.0,5.7
4,backend,1,1,4,6.0,4.8
3,database,2,0,4,2.4,23.0
2,frontend,1,1,2,1.7,1.5
3,backend,1,1,2,1.1,4.6
3,frontend,2,1,3,1.7,3.6
3,frontend,3,1,0,6.0,1.9
4,infrastruttura,2,0,4,4.5,46.4
4,infrastruttura,7,1,0,5.3,37.1
3,database,2,1,2,5.2,8.7
1,frontend,1,0,5,2.1,4.2
3,infrastruttura,2,1,2,6.3,8.8
4,backend,2,1,3,10.4,4.2
4,infrastruttura,3,1,2,2.1,21.2
2,frontend,2,0,2,4.7,6.1
2,frontend,3,1,2,7.6,4.3
2,backend,1,0,1,9.5,4.7
4,infrastruttura,2,1,3,6.7,12.0
3,frontend,2,0,2,2.4,7.5
2,frontend,3,0,5,1.0,13.7
2,backend,1,0,1,3.9,6.5
2,infrastruttura,2,1,0,4.3,8.7
4,database,1,1,2,9.5,3.7
3,infrastruttura,2,0,4,3.6,31.7
2,backend,2,1,3,2.1,5.7
3,infrastruttura,2,0,3,2.8,33.4
3,backend,2,0,5,6.7,7.8
3,frontend,3,1,0,4.9,4.0
4,database,2,1,0,4.4,5.6
2,backend,4,1,1,9.6,11.5
1,backend,2,0,5,0.6,25.9
1,frontend,2,1,1,8.6,1.5
3,database,1,1,1,0.5,8.6
4,database,2,0,4,8.3,20.3
2,backend,2,1,1,5.5,5.4
3,infrastruttura,1,1,0,5.2,4.6
3,backend,4,1,2,5.3,10.4
4,frontend,1,1,4,8.3,2.0
3,frontend,1,1,1,2.0,2.3
2,backend,2,0,4,7.2,14.6
3,frontend,2,0,2,8.4,4.1
4,database,4,0,3,4.5,57.5
3,database,1,0,2,3.1,18.4
4,backend,2,1,0,1.2,8.0
2,infrastruttura,2,1,1,21.2,5.0
3,infrastruttura,1,1,2,5.3,7.4
2,backend,2,0,10,1.0,14.5
3,frontend,1,1,3,2.3,2.1
2,frontend,2,0,2,3.2,7.8
2,backend,2,1,1,8.6,3.4
1,backend,3,0,4,2.3,13.6
3,backend,1,1,1,3.1,3.2
4,backend,2,0,5,7.7,8.4
2,backend,2,1,1,3.8,6.3
3,frontend,2,1,2,5.1,4.0
1,frontend,2,0,4,1.6,7.6
3,backend,2,1,4,1.9,10.7
2,database,2,0,3,2.1,22.1
3,backend,4,0,4,4.7,24.8
4,backend,2,0,5,5.1,16.1
3,backend,1,1,3,5.5,4.4
3,backend,3,1,2,9.6,9.8
3,frontend,1,1,3,3.1,2.1
2,frontend,1,1,0,1.3,3.3
2,frontend,1,1,2,7.8,1.6
2,frontend,1,0,1,5.6,3.8
3,frontend,2,0,5,7.5,8.6
4,database,3,1,2,5.6,9.1
3,frontend,2,0,2,3.3,4.1
3,frontend,1,1,0,3.3,3.1
2,frontend,3,1,0,2.8,5.8
2,frontend,2,1,1,10.6,2.3
4,frontend,1,0,1,16.4,2.3
2,frontend,2,0,1,6.9,2.9
3,frontend,1,1,2,4.1,2.2
1,infrastruttura,1,1,2,3.0,4.4
2,frontend,2,1,1,6.3,2.8
2,frontend,2,1,3,1.6,4.9
4,backend,2,1,0,6.8,1.8
2,frontend,3,0,5,2.9,14.3
3,backend,2,0,4,0.5,22.7
2,backend,4,1,0,12.3,8.5
3,infrastruttura,2,0,3,8.0,22.8
3,infrastruttura,1,0,6,1.5,30.0
3,database,1,1,1,8.8,3.8
