righe_modificate,file_modificati,test_modificati,dipendenze_aggiornate,ore_da_ultima_build_verde,commit_autore_nel_repo,tipo_ramo,fallita
29,6,1,0,2.5,141,feature,0
81,6,2,0,3.1,60,feature,0
311,7,5,0,11.9,68,feature,0
7,5,1,0,2.0,44,feature,1
17,5,1,0,15.4,65,feature,0
33,10,1,0,61.5,111,hotfix,1
449,20,2,0,4.8,94,feature,0
123,10,4,1,7.5,65,feature,1
209,8,2,0,19.2,42,release,0
26,5,4,0,1.3,132,feature,0
26,3,2,1,23.1,46,feature,0
147,5,1,0,14.6,18,feature,0
96,6,6,1,3.0,80,hotfix,0
165,7,1,0,9.6,8,feature,0
73,3,1,0,9.3,90,feature,1
122,12,3,0,5.0,96,feature,0
107,12,2,0,67.8,38,hotfix,1
212,13,2,0,17.7,44,feature,0
219,14,1,1,18.1,147,feature,1
15,15,2,1,7.8,302,feature,0
8,3,1,1,16.0,72,feature,1
271,19,2,0,18.3,39,feature,0
332,9,4,0,2.2,97,feature,0
29,7,1,0,4.1,62,feature,0
12,2,1,0,4.2,91,feature,0
100,5,2,0,8.7,80,hotfix,0
251,12,0,0,15.9,82,feature,0
650,17,6,0,2.0,5,feature,0
159,6,3,0,22.7,44,release,0
60,6,0,0,9.6,40,hotfix,1
34,4,1,0,11.1,39,feature,1
91,9,2,0,21.7,118,release,0
65,11,4,1,13.0,20,feature,1
29,3,1,0,1.8,5,hotfix,0
857,19,8,0,9.6,38,feature,0
641,13,4,0,4.7,31,feature,0
314,10,4,0,24.1,72,release,1
33,7,1,0,11.8,30,feature,1
231,9,2,0,21.9,54,hotfix,0
182,9,3,0,3.7,47,feature,0
146,7,5,0,10.0,184,feature,0
356,10,2,0,11.6,31,release,0
181,7,3,0,27.5,112,feature,0
203,7,6,1,10.0,64,hotfix,1
181,6,3,1,13.7,150,hotfix,1
131,8,3,0,9.3,228,feature,0
13,10,2,0,7.0,63,feature,0
99,4,0,0,2.1,9,feature,0
49,5,2,0,4.9,20,feature,1
22,3,3,1,5.6,15,feature,1
572,13,3,0,30.5,44,feature,1
603,14,6,1,9.5,38,hotfix,1
401,12,4,0,6.8,83,feature,0
119,7,0,0,3.0,141,hotfix,0
398,11,0,0,8.8,8,feature,1
91,7,1,1,3.6,69,feature,1
113,4,5,0,15.0,32,feature,0
27,5,5,0,6.1,71,feature,0
139,9,3,0,29.2,44,feature,1
96,4,0,0,1.8,122,feature,0
21,2,1,0,17.3,22,hotfix,0
85,9,1,0,18.0,34,hotfix,0
82,4,3,0,1.3,59,feature,0
650,14,0,0,6.5,49,hotfix,1
241,11,0,0,9.3,59,release,1
91,4,4,0,0.8,11,feature,0
118,9,0,0,0.2,203,release,0
95,4,2,1,1.5,41,feature,1
72,4,2,0,0.4,24,feature,0
27,3,1,0,3.3,61,feature,0
76,4,0,0,40.4,69,hotfix,1
40,7,1,0,9.5,272,hotfix,0
23,4,0,0,11.1,159,release,0
158,10,4,0,1.2,48,release,0
138,7,0,0,13.3,237,feature,0
13,5,3,0,5.7,203,feature,0
79,4,2,0,72.7,24,feature,0
269,13,3,0,7.6,319,feature,0
289,12,1,1,24.0,42,feature,1
278,11,2,0,3.4,77,release,0
94,6,1,0,17.8,180,feature,0
36,3,0,1,8.2,8,feature,1
27,5,1,0,2.1,59,release,0
132,8,4,0,10.5,87,hotfix,1
137,8,2,1,2.6,154,feature,1
371,12,3,0,2.9,66,feature,1
302,10,2,1,52.7,8,hotfix,1
78,4,4,0,6.1,271,feature,0
23,3,3,0,13.2,68,feature,0
63,3,1,0,4.2,90,feature,0
114,10,5,0,24.2,12,feature,1
72,14,2,1,3.9,197,feature,1
48,21,0,1,24.4,42,feature,1
119,7,1,0,40.3,32,feature,1
52,6,1,0,17.5,164,feature,0
45,5,1,0,16.4,14,feature,0
127,7,2,0,20.9,91,feature,0
58,3,0,1,1.8,31,feature,1
118,6,6,0,21.4,101,feature,0
122,5,2,0,6.7,124,release,0
26,4,1,1,9.5,41,feature,1
53,4,4,0,7.2,188,feature,0
438,13,3,0,27.8,69,feature,0
25,7,1,0,4.9,273,hotfix,0
9,5,1,0,5.7,166,feature,0
12,3,1,0,27.6,76,feature,1
93,4,2,0,2.9,75,hotfix,0
93,8,3,0,12.6,16,hotfix,1
79,6,4,0,6.3,164,feature,0
342,7,5,0,10.4,37,feature,0
5,5,3,0,4.9,83,release,0
139,8,1,1,15.9,272,release,1
501,10,4,0,1.4,185,hotfix,1
26,6,2,0,19.3,26,hotfix,1
59,3,0,1,3.0,69,hotfix,1
39,3,3,0,13.1,91,release,0
34,2,1,0,6.1,203,feature,0
63,4,0,0,13.0,180,release,0
433,9,3,0,37.1,111,hotfix,1
679,19,3,0,12.1,103,feature,0
62,5,1,0,24.5,68,feature,0
732,16,1,0,4.7,88,feature,0
94,10,2,0,19.1,54,hotfix,1
620,18,4,0,3.2,134,feature,0
81,5,4,0,12.0,107,feature,0
104,7,0,0,18.7,159,feature,0
135,5,3,0,0.1,156,feature,0
2971,54,3,0,6.7,37,feature,1
230,6,4,0,5.9,3,feature,0
41,6,3,1,13.3,34,feature,1
261,13,1,0,6.8,88,feature,0
60,9,1,0,21.6,54,feature,0
53,5,1,0,14.8,52,feature,0
245,6,0,0,20.7,32,feature,0
93,5,1,0,6.8,99,release,0
122,6,2,1,17.2,110,hotfix,1
91,3,1,0,3.3,112,hotfix,0
130,4,3,0,65.4,157,feature,1
144,12,3,0,3.4,525,feature,0
11,7,5,0,8.9,2,hotfix,0
187,9,5,0,23.7,108,feature,0
31,7,1,0,9.7,126,feature,0
18,2,3,0,5.6,34,feature,0
84,4,3,0,16.8,58,feature,0
99,7,1,0,2.1,43,feature,0
42,6,3,0,1.8,114,feature,0
225,6,2,0,6.5,170,feature,0
21,5,2,0,22.7,19,feature,0
58,5,3,0,15.0,100,feature,0
47,8,1,1,10.0,198,hotfix,1
86,7,1,1,2.9,37,release,1
122,13,4,0,9.2,28,feature,0
30,4,1,1,9.7,24,feature,1
200,6,2,0,7.4,30,feature,0
96,12,3,0,4.8,268,feature,0
11,6,5,0,4.9,315,hotfix,0
10,4,2,1,0.5,218,hotfix,0
89,4,1,0,5.4,53,feature,0
71,5,2,0,13.5,224,hotfix,0
80,5,2,0,2.8,23,feature,0
87,4,1,0,1.4,136,feature,0
115,3,2,0,9.6,40,release,0
255,8,0,0,19.2,19,feature,1
27,7,0,0,0.6,97,feature,0
25,9,3,1,2.2,99,hotfix,1
27,8,3,0,10.0,107,feature,0
124,10,2,0,29.3,118,feature,1
354,8,4,0,10.2,93,feature,0
56,6,0,0,8.8,63,feature,0
6,6,3,0,55.9,74,feature,0
14,6,0,0,26.5,138,feature,0
36,5,2,0,6.5,90,feature,0
49,6,1,0,35.0,45,feature,0
57,8,1,0,16.4,33,feature,1
94,7,2,1,4.7,74,hotfix,1
64,8,3,0,2.1,197,feature,0
286,8,2,0,2.8,119,feature,0
43,7,3,0,6.7,206,hotfix,0
35,5,0,0,1.9,52,feature,0
152,10,4,1,37.0,84,feature,1
17,3,4,0,3.6,96,feature,0
138,9,0,0,30.6,143,feature,0
101,5,2,0,12.8,52,release,0
77,8,3,0,29.5,119,feature,0
517,14,2,0,1.2,189,hotfix,0
45,5,0,0,9.5,66,feature,0
868,18,0,0,3.0,29,feature,0
70,5,1,0,49.9,194,feature,0
22,4,0,0,25.5,128,feature,1
97,5,2,0,3.9,14,feature,0
28,6,2,0,38.4,68,feature,1
39,2,3,0,16.3,280,feature,0
139,9,2,0,11.5,111,hotfix,0
166,10,0,0,23.1,74,release,0
45,5,3,0,10.5,25,feature,1
267,9,2,0,22.1,25,release,0
322,8,3,0,13.0,136,feature,0
437,13,2,0,0.8,28,feature,1
161,5,0,0,6.3,96,feature,1
403,8,1,0,10.4,66,feature,0
11,9,2,0,13.3,91,feature,0
63,3,1,0,2.4,61,feature,0
35,5,5,0,16.7,107,hotfix,0
103,7,0,0,11.5,156,feature,0
48,7,1,0,20.6,62,hotfix,1
75,6,1,0,23.5,145,feature,0
714,17,5,0,29.1,212,feature,1
75,5,3,0,6.0,95,feature,0
142,4,1,0,6.2,133,feature,0
70,5,1,0,21.5,19,feature,0
98,8,5,0,1.4,63,hotfix,0
91,4,3,0,10.0,12,feature,1
147,7,2,0,2.3,44,feature,0
324,17,1,0,5.0,64,hotfix,0
551,13,3,0,44.0,298,feature,0
127,6,2,0,2.5,34,release,1
172,5,2,0,2.4,71,feature,0
25,3,4,0,13.7,28,feature,0
82,4,3,0,0.3,59,feature,0
253,10,0,0,1.3,109,feature,0
233,6,1,0,18.5,123,feature,0
114,7,3,0,18.2,52,feature,0
239,7,3,0,4.0,39,release,0
154,4,1,0,16.6,234,hotfix,1
337,12,2,0,10.5,48,feature,1
124,6,5,0,0.1,4,feature,0
61,7,3,0,0.1,190,hotfix,1
130,4,4,0,14.3,7,feature,0
4,1,1,0,4.3,190,feature,0
137,7,0,0,7.6,12,feature,1
2,2,1,0,0.3,16,feature,0
14,5,1,0,11.5,22,feature,0
148,7,3,0,8.4,45,hotfix,0
152,7,1,1,11.2,191,feature,1
25,8,0,0,3.3,23,hotfix,0
41,6,1,1,0.4,108,release,0
407,19,4,1,1.8,89,feature,1
53,4,2,0,17.0,77,hotfix,0
1061,20,5,0,33.1,165,feature,0
90,4,0,0,2.2,82,release,0
141,6,0,1,27.4,88,feature,1
533,21,4,0,12.3,132,feature,0
104,6,2,0,39.6,46,feature,1
30,9,4,1,1.0,71,release,0
80,5,1,0,12.8,95,feature,0
87,5,1,1,15.9,153,hotfix,1
20,2,5,0,1.6,63,feature,0
68,13,1,0,1.8,70,feature,0
40,10,2,0,5.7,106,feature,0
249,9,0,0,8.2,64,feature,0
94,5,1,0,16.0,35,feature,0
66,6,2,0,14.7,132,feature,0
80,3,2,0,18.5,83,hotfix,1
115,8,3,0,16.5,50,hotfix,1
177,12,6,0,2.9,22,feature,0
30,10,5,1,47.5,7,feature,1
29,2,3,0,3.7,111,feature,1
303,13,5,0,10.5,34,hotfix,0
57,3,2,0,11.7,11,hotfix,1
19,2,3,0,22.6,30,hotfix,1
147,11,1,0,23.1,95,hotfix,1
150,6,1,0,7.0,34,feature,0
17,8,0,0,13.6,97,feature,0
116,9,2,1,0.9,42,hotfix,1
202,10,5,0,2.7,71,feature,0
136,7,0,0,1.1,77,feature,1
180,5,3,0,7.6,126,feature,0
19,4,0,1,19.4,130,hotfix,1
130,12,4,0,4.9,73,feature,0
65,9,0,0,12.5,26,release,0
53,5,1,1,5.7,179,feature,1
235,8,3,1,23.2,49,feature,1
458,14,0,0,19.4,92,feature,1
648,16,4,0,26.7,95,hotfix,1
382,10,5,0,2.8,51,feature,0
80,7,3,0,3.8,13,release,0
133,8,2,0,0.7,9,feature,1
209,6,3,0,1.6,54,hotfix,1
103,7,6,0,3.4,24,hotfix,0
104,7,1,0,22.9,152,feature,1
223,8,3,0,16.4,52,hotfix,1
84,4,1,0,7.8,46,feature,0
40,4,2,0,14.8,276,hotfix,1
57,3,1,1,15.3,3,hotfix,1
181,8,2,0,20.7,70,feature,1
90,3,1,0,4.1,7,feature,1
131,12,3,0,0.5,193,release,0
188,12,2,0,10.0,11,release,0
60,7,2,1,7.3,98,feature,1
207,11,2,0,4.2,87,release,0
137,9,1,0,12.1,7,feature,0
23,5,4,0,7.7,99,feature,0
440,11,1,0,20.0,41,feature,0
52,5,2,0,6.3,116,feature,0
15,11,1,0,1.5,39,feature,0
29,3,1,0,0.3,99,feature,0
29,3,2,0,3.9,64,feature,0
95,9,2,1,6.0,99,feature,1
67,8,2,0,22.5,114,hotfix,0
62,5,2,0,7.0,58,hotfix,0
178,9,6,0,8.0,49,release,0
131,9,5,0,2.7,111,feature,0
127,4,1,1,20.7,42,hotfix,1
141,12,0,0,18.3,59,feature,0
177,9,2,0,49.2,223,feature,1
9,6,2,0,23.1,71,hotfix,0
60,8,1,0,33.1,130,feature,1
8,5,4,0,1.4,36,hotfix,0
94,6,0,0,21.6,98,feature,1
90,6,0,0,0.4,60,feature,0
284,7,3,0,72.4,50,feature,1
332,18,4,0,7.2,6,feature,0
113,6,1,0,2.0,24,feature,0
52,14,5,1,1.7,289,feature,1
153,7,2,0,31.7,63,feature,1
50,4,3,0,9.8,71,hotfix,0
90,11,3,0,0.1,149,feature,0
266,10,3,0,17.7,90,feature,0
49,17,4,0,17.5,50,feature,0
218,7,1,1,8.9,50,feature,1
190,13,3,0,2.6,22,feature,0
31,10,5,1,2.7,105,feature,0
263,11,1,0,5.6,108,hotfix,1
194,13,3,0,9.4,72,feature,0
101,6,3,0,46.3,62,hotfix,1
39,3,0,1,12.1,109,feature,1
35,4,2,0,2.9,21,feature,0
50,6,3,1,11.4,95,feature,0
164,10,2,0,39.7,232,feature,0
31,3,1,0,2.9,37,feature,0
146,6,2,0,2.6,56,feature,0
23,3,1,0,0.4,187,feature,0
72,9,4,0,10.5,72,feature,0
102,14,2,0,0.6,138,feature,1
1326,25,3,0,62.5,99,hotfix,1
20,7,1,0,27.3,107,hotfix,0
455,16,2,0,1.8,35,feature,0
106,6,1,0,3.3,33,feature,0
141,4,1,0,3.6,124,feature,0
103,11,0,0,1.3,14,hotfix,1
147,4,1,0,19.6,59,feature,1
76,12,1,0,18.1,109,feature,0
446,10,5,0,3.7,56,release,0
54,3,2,0,17.9,62,feature,0
313,9,2,0,13.1,144,feature,0
44,5,4,0,4.7,205,hotfix,0
84,6,1,0,7.4,376,release,0
28,7,2,0,39.1,191,feature,0
148,8,2,0,38.4,45,feature,1
441,19,5,0,22.5,29,feature,0
83,6,4,0,3.7,46,feature,0
72,7,5,0,10.9,111,feature,0
26,6,3,0,31.1,51,feature,1
70,3,3,1,3.6,36,feature,1
16,2,0,0,13.7,224,hotfix,1
33,5,1,0,2.1,49,release,0
116,8,2,0,10.2,104,hotfix,0
384,8,0,0,17.9,101,feature,0
1979,45,4,0,83.0,6,feature,1
47,7,2,0,8.5,214,feature,0
437,12,3,0,40.0,20,feature,0
118,8,2,0,23.7,12,feature,1
76,5,3,0,14.8,44,hotfix,1
145,7,1,0,6.9,29,feature,0
96,7,3,0,23.8,188,feature,0
102,11,2,0,30.8,89,feature,0
57,5,2,0,5.9,40,release,0
19,2,0,0,10.3,12,feature,0
16,3,3,0,12.4,98,feature,0
185,7,0,0,37.2,54,feature,1
66,3,1,0,8.3,110,release,0
47,3,1,0,13.1,90,feature,0
91,4,6,0,50.4,30,feature,1
216,7,5,0,27.7,122,hotfix,0
110,8,5,0,2.1,17,hotfix,0
44,4,1,1,12.8,51,feature,1
347,12,1,0,35.3,58,release,0
511,13,3,0,8.2,66,feature,0
155,5,2,0,13.9,15,feature,0
263,10,7,0,36.0,181,feature,0
353,11,2,0,10.4,30,feature,0
312,12,3,0,19.9,8,feature,1
177,10,2,1,1.5,92,hotfix,1
174,12,3,0,12.6,286,hotfix,0
159,9,4,1,3.0,6,feature,0
27,5,2,0,14.9,145,hotfix,0
195,10,0,0,4.4,71,release,1
20,4,3,0,2.8,16,feature,0
38,4,1,0,9.4,58,hotfix,0
378,16,4,0,19.0,236,release,0
227,7,4,0,29.0,197,hotfix,1
462,10,6,0,3.1,429,feature,0
67,7,3,0,3.3,127,hotfix,0
25,4,3,0,114.7,42,hotfix,1
69,8,1,0,10.3,143,feature,0
101,11,2,0,6.0,34,feature,0
98,5,1,0,3.0,63,feature,0
313,12,3,0,16.4,34,feature,0
60,4,3,0,5.7,126,feature,0
133,6,1,1,10.2,117,feature,1
30,6,1,0,0.1,37,hotfix,1
148,6,2,0,2.1,170,hotfix,0
90,7,1,0,1.7,213,feature,0
39,5,1,0,7.2,43,feature,0
69,8,2,0,11.5,100,feature,0
74,9,1,0,5.2,224,feature,0
67,4,3,0,3.0,93,feature,0
632,16,4,0,8.3,52,feature,0
81,9,3,0,32.8,65,release,0
69,4,1,0,8.7,42,feature,0
9,4,2,0,3.3,174,feature,0
34,6,3,0,4.2,158,hotfix,0
67,4,2,0,6.2,33,feature,0
42,4,1,0,0.7,40,feature,1
412,18,5,0,5.6,13,feature,0
75,4,4,0,7.4,112,feature,0
371,10,2,0,36.7,20,feature,1
96,8,2,0,30.0,315,hotfix,1
94,4,1,0,10.3,29,feature,0
82,6,2,1,6.8,6,hotfix,1
90,4,1,0,3.6,19,feature,0
596,15,2,1,6.7,90,hotfix,1
7,1,3,1,1.1,64,feature,0
10,5,3,0,3.2,28,feature,0
50,6,1,0,10.3,61,feature,0
91,5,1,0,46.6,38,feature,1
192,7,1,1,25.1,109,feature,1
151,6,3,0,24.4,21,feature,1
59,5,4,0,13.8,79,feature,0
276,15,2,0,48.7,82,feature,1
280,12,3,0,5.5,66,feature,1
110,6,2,0,1.6,99,feature,0
260,8,3,0,2.4,61,feature,0
121,9,4,0,0.5,125,feature,0
49,6,4,0,8.0,66,feature,0
194,6,1,1,20.6,180,feature,1
102,6,0,0,6.4,79,feature,1
90,11,3,0,20.2,171,feature,0
455,14,2,0,9.9,39,release,0
6,4,5,0,3.3,24,hotfix,1
19,2,1,0,7.4,124,feature,0
24,6,4,0,0.5,67,feature,0
60,6,3,0,2.6,3,feature,0
68,5,0,0,24.6,32,feature,1
17,7,1,1,19.9,90,feature,0
30,7,3,0,29.2,62,feature,0
35,3,3,0,14.2,31,feature,0
1344,27,4,0,2.7,67,feature,0
653,13,4,0,48.9,77,hotfix,1
57,4,0,1,1.6,8,feature,1
60,3,0,0,6.2,168,hotfix,1
25,3,1,0,0.8,198,release,0
11,6,1,0,7.9,32,feature,0
79,7,3,0,1.4,279,hotfix,0
30,5,2,0,3.5,63,hotfix,0
82,5,2,0,18.8,36,feature,0
15,2,5,0,4.2,35,feature,0
39,4,2,0,0.3,265,hotfix,0
106,7,2,0,14.5,22,feature,0
135,7,1,0,6.3,79,feature,0
142,12,4,0,3.2,87,feature,1
21,9,3,0,8.9,125,feature,0
230,8,1,0,6.6,73,feature,0
37,4,2,1,20.4,251,release,0
181,6,3,1,12.1,287,feature,0
89,3,3,0,6.0,209,feature,0
20,3,0,0,1.5,95,feature,0
64,6,2,0,3.1,147,feature,0
135,9,1,0,9.2,51,hotfix,1
177,7,1,0,18.1,173,feature,0
77,17,5,0,15.2,38,feature,0
485,10,0,0,7.4,26,feature,1
273,6,1,1,20.6,25,release,1
68,16,4,0,4.1,112,release,0
205,5,0,0,1.0,228,feature,1
755,16,1,0,19.5,242,feature,1
778,16,5,1,17.4,154,feature,1
23,6,1,0,2.6,24,release,0
32,4,1,1,3.2,372,hotfix,1
461,14,4,1,33.0,16,feature,1
28,8,2,0,17.5,8,hotfix,1
21,2,2,0,4.1,156,feature,0
53,4,3,0,3.1,48,feature,0
143,9,0,0,34.5,45,feature,1
80,9,0,0,15.9,31,feature,0
44,6,3,0,1.4,37,feature,0
43,6,3,0,1.2,162,feature,0
41,10,2,0,7.4,25,hotfix,0
34,4,3,0,16.2,60,release,0
1107,23,3,0,10.3,22,feature,0
125,11,1,0,6.1,76,feature,0
239,13,2,0,21.6,44,hotfix,1
53,5,4,0,10.6,104,feature,0
73,4,2,0,16.8,116,hotfix,0
41,5,0,0,0.5,231,feature,0
5,4,1,0,16.5,355,feature,0
20,3,3,0,22.2,35,hotfix,0
12,3,2,0,30.7,127,feature,0
8,9,2,1,6.5,44,feature,1
24,6,5,0,20.0,113,feature,0
387,10,2,0,2.0,109,hotfix,1
86,4,2,0,18.8,106,release,0
372,9,5,0,1.3,135,feature,0
141,4,1,1,27.2,80,feature,1
213,9,4,1,19.5,48,feature,1
33,3,2,0,1.7,77,feature,0
160,8,4,0,3.6,335,feature,0
201,10,2,0,0.7,39,feature,0
48,6,0,1,14.8,52,feature,1
167,6,5,0,27.7,32,feature,1
168,5,2,1,12.9,6,feature,1
49,3,1,0,4.0,66,feature,0
26,9,2,0,7.5,119,feature,0
24,6,2,0,35.6,27,feature,1
99,5,2,0,24.6,204,feature,0
129,8,2,0,19.2,101,feature,0
38,8,0,0,19.2,163,feature,0
93,4,6,0,81.9,93,feature,1
169,8,3,0,4.2,60,feature,0
178,8,2,0,20.3,49,feature,0
496,18,3,0,1.8,90,feature,0
367,10,1,0,5.7,97,feature,0
30,3,2,0,7.2,42,feature,0
574,15,1,1,2.3,59,feature,1
50,7,2,1,10.1,288,feature,0
284,10,3,0,14.0,78,feature,0
97,12,4,0,16.1,85,hotfix,0
57,5,3,0,21.0,238,feature,0
12,5,2,0,8.9,98,release,0
75,3,0,0,10.0,69,feature,0
16,3,1,0,3.1,159,hotfix,0
261,7,2,0,32.6,132,hotfix,1
477,12,4,0,5.4,87,feature,0
37,3,3,0,1.0,94,feature,0
125,8,2,1,7.2,53,feature,1
41,3,1,0,10.6,20,feature,0
45,15,4,1,34.8,117,feature,1
211,6,4,0,2.8,12,release,0
86,6,1,0,11.7,22,hotfix,0
610,14,3,1,7.2,58,release,1
53,3,0,0,1.4,52,hotfix,0
270,8,1,0,8.2,127,hotfix,0
100,6,1,0,0.7,155,hotfix,0
216,11,0,0,16.2,319,feature,0
55,6,2,0,1.2,9,hotfix,0
85,7,4,0,8.0,105,feature,0
79,8,5,0,6.7,102,feature,0
36,7,4,0,38.3,91,feature,0
186,8,2,0,7.9,117,feature,0
184,6,3,0,3.9,138,release,0
173,8,5,0,13.7,209,feature,0
488,11,2,0,1.4,94,feature,0
443,11,2,0,6.3,259,feature,0
60,5,2,1,4.2,94,feature,1
136,6,0,0,74.7,46,feature,1
45,3,2,0,2.6,87,feature,0
92,3,2,0,36.7,29,feature,0
47,4,1,0,1.9,31,feature,0
535,17,2,0,5.9,63,feature,0
134,7,4,0,2.4,54,feature,0
71,9,1,0,15.3,205,feature,0
335,8,3,0,20.8,62,hotfix,1
8,3,1,0,3.2,25,hotfix,0
10,15,1,0,12.8,73,hotfix,0
216,6,1,0,14.4,93,feature,0
96,8,1,0,6.8,81,feature,0
119,8,1,0,11.6,23,release,0
21,6,2,0,7.7,222,release,0
88,7,3,0,27.2,8,feature,1
816,16,2,0,4.0,80,feature,0
223,7,2,0,2.0,23,feature,0
108,3,3,1,14.3,167,feature,0
56,11,1,0,8.6,106,release,0
58,7,2,0,16.1,93,release,1
9,3,1,0,2.1,57,release,0
120,5,2,0,8.7,208,feature,0
228,12,2,0,0.3,57,feature,0
16,3,1,0,6.0,277,hotfix,0
43,4,2,0,6.4,30,feature,0
25,3,2,0,7.6,74,feature,0
31,7,1,0,14.1,135,feature,0
95,9,1,0,0.1,112,feature,0
9,4,2,0,51.0,69,feature,0
177,11,3,1,9.8,10,hotfix,1
206,9,5,0,31.8,84,feature,1
68,3,2,0,4.7,51,feature,0
6,9,1,1,2.6,40,feature,0
30,3,4,0,2.6,141,feature,0
349,10,4,0,17.2,7,feature,0
4,4,2,0,2.1,71,feature,0
61,4,2,0,17.7,113,hotfix,0
25,2,0,1,0.4,142,feature,0
218,16,0,1,14.0,83,feature,1
43,2,2,0,1.3,46,feature,0
140,12,1,0,13.7,205,feature,0
168,5,0,0,1.0,216,feature,0
678,14,2,1,1.3,98,feature,0
72,10,2,0,17.7,241,feature,0
136,8,1,0,21.1,30,feature,0
18,2,0,0,9.9,65,feature,0
333,7,2,0,7.8,3,feature,1
39,6,2,0,9.1,21,feature,0
49,3,0,1,13.4,18,feature,1
88,7,1,0,4.6,112,feature,0
16,6,1,0,4.2,22,feature,0
116,5,4,0,27.6,37,hotfix,1
261,8,3,1,14.9,42,feature,1
124,7,1,0,5.1,16,release,0
16,3,2,0,2.0,78,feature,0
79,6,2,0,14.6,91,feature,0
204,18,3,0,22.9,11,feature,0
11,6,1,0,15.1,127,feature,0
28,4,3,1,15.2,28,release,1
236,17,7,0,9.7,41,release,0
121,9,1,0,0.3,107,hotfix,0
142,5,1,0,0.7,41,feature,0
696,14,2,1,1.5,21,release,1
151,4,2,0,3.5,74,feature,0
186,8,4,0,17.4,168,hotfix,0
1775,31,5,0,1.5,152,feature,1
71,15,4,1,0.9,37,release,1
37,4,0,1,3.2,25,feature,1
144,10,3,0,2.6,32,feature,1
146,6,2,0,9.3,154,release,0
50,6,5,0,0.6,31,feature,0
29,4,3,0,6.1,232,release,0
1142,24,2,0,27.5,105,feature,1
129,11,1,1,13.0,66,feature,1
40,12,2,0,39.1,37,hotfix,1
247,15,10,0,15.6,75,feature,0
80,23,8,0,3.9,21,hotfix,0
68,4,3,0,18.1,12,feature,0
167,8,1,0,19.6,106,feature,0
22,3,2,0,12.7,66,feature,0
133,11,2,0,18.0,131,feature,0
738,15,2,0,34.2,88,hotfix,0
150,11,1,0,8.4,36,hotfix,1
60,6,6,0,1.3,152,feature,0
52,5,1,0,6.0,41,feature,0
57,5,2,0,1.5,187,feature,0
68,3,3,0,49.7,39,feature,1
59,3,1,0,1.4,15,hotfix,1
247,9,2,0,3.3,214,feature,0
13,5,1,0,11.7,38,feature,0
232,7,2,0,17.3,41,feature,0
59,5,2,0,18.5,15,feature,0
136,8,1,1,11.1,61,hotfix,1
26,3,3,0,2.2,18,feature,0
388,8,4,0,6.9,204,feature,0
354,16,2,0,29.1,47,feature,0
259,9,2,0,8.7,26,feature,0
17,4,3,0,0.2,71,feature,0
224,7,1,0,9.2,349,hotfix,0
141,5,1,0,0.3,74,feature,0
15,9,1,0,10.5,54,feature,0
88,3,1,0,50.8,70,feature,1
134,8,3,0,8.5,136,hotfix,0
166,8,3,0,11.2,126,feature,0
109,9,3,1,16.5,86,feature,1
124,6,1,0,3.9,157,hotfix,0
455,17,4,0,1.3,73,feature,0
347,13,1,0,12.3,59,hotfix,1
4,3,1,0,4.9,72,hotfix,0
63,4,3,0,10.6,40,hotfix,0
75,5,2,0,5.0,139,feature,0
13,4,0,0,29.2,38,feature,1
100,4,4,0,9.9,5,hotfix,0
356,10,2,0,11.3,94,feature,0
27,4,0,0,1.6,31,feature,1
130,13,0,0,6.8,129,feature,0
33,4,3,0,13.5,67,feature,0
43,4,2,1,8.0,138,feature,1
457,12,2,0,3.8,6,release,0
50,6,3,1,15.6,37,feature,1
150,8,1,1,35.2,25,feature,1
11,5,2,0,2.4,400,release,0
698,16,3,0,16.3,44,feature,0
175,7,3,0,0.2,11,feature,0
74,7,3,0,0.8,92,feature,0
170,5,1,0,17.9,23,feature,0
19,3,0,0,0.5,149,feature,0
331,7,5,0,0.6,170,feature,0
63,4,3,1,4.8,25,feature,1
72,9,1,0,16.2,32,feature,0
52,7,2,0,0.1,85,feature,0
48,12,1,0,17.4,153,feature,0
193,13,7,0,38.5,94,feature,0
119,8,1,0,6.2,44,feature,0
184,8,0,0,14.5,15,feature,1
89,6,1,0,35.7,248,hotfix,1
158,4,2,1,0.9,96,feature,1
57,5,3,0,17.1,289,hotfix,0
1046,21,6,0,1.8,108,feature,0
16,3,4,0,11.7,261,feature,0
360,11,2,0,8.1,29,feature,0
405,11,0,0,2.1,32,feature,1
35,5,2,0,2.1,56,feature,0
1045,20,5,0,24.1,27,hotfix,1
269,12,0,0,3.5,9,hotfix,1
262,8,0,0,14.0,36,release,0
93,7,1,0,1.2,106,release,0
71,5,2,0,20.2,17,feature,0
71,2,1,0,5.8,20,feature,0
138,8,2,0,15.0,38,feature,0
420,11,7,0,5.8,23,feature,0
110,4,5,0,1.6,40,hotfix,0
33,3,2,0,28.8,60,feature,0
223,11,2,0,0.3,19,feature,0
248,6,3,1,27.1,39,feature,1
185,6,0,1,10.0,66,hotfix,1
204,16,2,0,7.8,28,feature,0
67,7,2,0,25.8,15,hotfix,1
32,7,0,0,12.6,30,feature,0
35,4,1,1,50.6,47,feature,1
15,2,0,0,26.6,8,feature,0
117,7,2,0,16.4,108,hotfix,0
82,4,2,0,10.3,49,hotfix,0
55,3,0,1,26.6,31,feature,1
3,5,1,0,5.5,10,feature,0
23,3,2,0,1.0,96,feature,0
309,9,3,0,1.2,171,feature,0
